Exercise,Equipment,Exercise Type,Major Muscle,Minor Muscle,Example,Notes,Modifications
Arnold Press,Dumbbells,Weight,Arms,"Bicep,Shoulders",giphy-2.gif (https://v5.airtableusercontent.com/v3/u/33/33/1726855200000/JQB-qg93vUqjp2kvMQKy7w/JE4mGy_gfYxeKklHxt8ViU5My3Xaw8JCxZ_LiNdGnFFNlhfsxf3GJuh45l6FW1P26qWjSa3xu6GALYFahrFzlCLlRhkHSreurxvFUo74WXU/SEeZn5FAcEGS8RF9Br2UkbgT-6eewpjX0EFB4UYUba0),,
Bicep Curl,"Bar,Dumbbells,Cable","Weight,Machine",Arms,Bicep,3e8b7121-738e-4457-b6d8-fd3a3e04de5a.gif (https://v5.airtableusercontent.com/v3/u/33/33/1726855200000/8R_jDAFp9o3Qler8UUVauQ/j0bq8jXAMtWM0ZPArtdLpSDFO0aZUS7uVPwOOlKApQ6S7ZrYniHmrcFeu3Z_Gii9zu1heTfk9JfK9mITBWb0q63roWm1V5Z6NlbFrUC_0PyzUYuYpcXDne6wgD1-VzGzLgr47ADTAeKTMj5eiPU1Kg/kC8Cx8dD3SD60Hn93tmJ9m1cXTjofUE76aMoJgcYY70),Don't use momentum. Make sure the movement is coming from the bottom half of your arm not your shoulder moving the weight.,
Bicycle Crunch,Body Weight,Weight,Core,,200.gif (https://v5.airtableusercontent.com/v3/u/33/33/1726855200000/pb4a-1RoQjtAHmeDRTKggQ/BMREua9VrEplaUM4c41VLjOOh2qHiBOEyelO1zMxr2lOsOv3cv9ZZXX1EfLPp-IXNhzTRB6jKFH2ZrWWTW8GqiX0xOIpPljFp-pwr4q3BuY/Z9WWKA8bKX8tK_RsXpbwD110-IuViLoIPfxa1wvEPy8),"The lower the ""straight"" leg is to the ground the more challenging this exercise is. ","Easier: Move Slower, Legs higher in the air
Harder: Keep shoulder blades off the ground entire time"
Bounds,Body Weight,"Cardio,Laps","Full Body,Legs","Outer Thigh,Glutes",1ea07303-2e87-4876-8e68-8944edd42173.gif (https://v5.airtableusercontent.com/v3/u/33/33/1726855200000/wEjFYp9SK0PrsnM2rjYd_A/d7z5SMwE4qabIGbq9i_zGB4fsUAVv5fEQQrLO6jEPKiWN0noOyGPdD3qlljygGnOLAaqPT-6YdN1h_4SjbhnPXq1yQ30vPcw_mCLdAx-9VRw2XBQKGHeK-H5UCRyUSkClnpL2zpzjqtmwEXlTbl2NQ/CEn4a_ZJh1BSC82vJ6xU7Fl0V3kIFT2aXxK1xigiXqs),Do laps across the room of these.,"Easier: Don't jump as high/far
Harder: Touch the ground with your opposite hand after each jump"
Box Jumps,Body Weight,Plyo,Full Body,,giphy.gif (https://v5.airtableusercontent.com/v3/u/33/33/1726855200000/KQTk-X7U77CQAunM_W_mTA/K1WdW-TnbilhYlzEgs-ML7Y3M7eKIP3vdyt_1gAyWl_bdPkVOLaHcS0DKbR92PfTWVGCfWZSxy2IY3eI2U_0QN9cA74RHcen4SN53UwIZmo/Cx5mwYYnn3L8tSMa8TNO8To_dST4U0OcA7ULu6T6UPo),"Don't be afraid, you can jump higher than you think. Just try it once.","Easier: Lower the height of the box and work up
Harder: Jump Faster and higher boxes"
Box Toe Touch,Platform,Cardio,Legs,Glutes,workoutanniversarygif9570.gif (https://v5.airtableusercontent.com/v3/u/33/33/1726855200000/YKloO-mCDZDPQL7nnFEOlQ/tUClYo61tmbz1rkwb2W8rdk31IO1K4iTeLxTwqq4lHytx-lX7tFN_OHXIKZ5PCp6rzKV45qVMHPQsXlLPeL5L6zNyRYjn4NRySSdaPuGyU76FehFfUJfQUoM5OLEVafC/6wAn5rT2y0yPd5e09WlpMBHx_TKuFdvJ6YpJiIi4Ztg),,"Easier: Don't use a box, just practice toe touch without
Harder: Increase Speed"
Broad Jump,Body Weight,"Plyo,Laps,Cardio",Legs,Glutes,Broad-Jumps-180-Degree-Twist.gif (https://v5.airtableusercontent.com/v3/u/33/33/1726855200000/Tr19srRDEEwLRXwIWSgwnw/gioVIoq8xaNXIov3gcdj_3XLnmuIfk8msm-NMH2zsgaKOAo5Zzzbvggz606mIOzeB_8jHQHXeBZ-QuMaKtribHDxKulrgiohteZ5wq5Wpk6RU8TGcsdLP7GveF4hLtPc/al5_gVyKwHR5Aci6m0Y2LghNuvRs1gqK_POYDhCeljE),"You can do these for speed, or for distance. Speed = Cardio, Distance/Height = Plyo",
Bulgarian Split Squat,"Bar,Dumbbells",Weight,Legs,"Hamstrings,Quads",erin_stern_demonstrates_bulgarian_split_squat.gif (https://v5.airtableusercontent.com/v3/u/33/33/1726855200000/nn9-alII__nO8rWa7fTwXw/KQQ8WOHOP2yTfu_a66SqIvigDSvI8Sbnpl62Wwwg4yrxN_QECjjorwWFFvLtfOVWPimmkMuxQ3O2f5bui9RZqSxynoq6lw0lJ3P9sAyxKrApfiaCjDtqKbl5zbaSzuhvulOWPISVbx06MC_PFGcKvw/zv4qkwVwCMPJgauA8efsEzk4upgcCGFerIzQJIKKJCs),Use Single 30LB Dumbbell or an Olympic Bar,
Burpee,"Body Weight,Bosu Ball",Plyo,Full Body,,Burpee.gif (https://v5.airtableusercontent.com/v3/u/33/33/1726855200000/DETF7c95yWVt7rS2FCFfLA/dRf9up1BKeQdjhk2Z8wlDYgG96VPY00dPhXTqRKL2ZINvibj50kbCWD0OADzTxRzdNfNLORZjypBTjdXfqHpnihau6jJBs5DIX6HdUyOT5c/xqSfmC8cqYdORqhrcOZdrwY3ml6iIgv_8uZspZIHN3c),"Option with half Bosu, Pushup Optional. Make sure you don't round your back","Easier: Don't Jump after, and break down motion squat, step legs back and no pushup
Harder: Speed"
Burpee Broad Jump,Body Weight,"Plyo,Laps",Full Body,,BurpeeBroadJump-1.gif (https://v5.airtableusercontent.com/v3/u/33/33/1726855200000/Lju8W8eZOK4On4WOhOHq7Q/M0dgEejS7eQq8OK5A0ulrrx_YSPl6KZgeLCmyGBxGKl8ndhEvyXRN7hh-a_6_qrNB70DLbGBunjzat3pIn8VjFhOxoyeSN1TbcQrTHG3paE/uSYtM2urYwYqe8s0ZBVv-AeQ8qzzKBUaGVMxaMiFymw),Do laps of these across the room if you have the space.,
